year,title,speaker,copresented,copresenter,org,nonmale,location,international,description,votes,top_10,gave_talk
2013,The PANDA Project Architecture in 5 minutes,Christopher Groskopf,0,NA,Chicago Tribune,0,"Chicago, IL",0,"Deep in the dirty, mucky innards of how the PANDA Project works. A deep dive into the dark art of building a big data application.",8,0,0
2013,"Why you should, and shouldn't, fear the drone",Matt Waite,0,NA,University of Nebraska-Lincoln,0,"Lincoln, NE",0,"Drones are getting a lot of attention lately. But are they Skynet/Big Brother incarnate or a useful tool for everyone from cops, journalists to the local golf course owner? Answers WITH a demonstration!",7,0,0
2013,How much bond contractors cash in,Matt Clark,0,NA,Newsday,0,"Melville, NY",0,"Ever wondered how much financial advisers, underwriters, rating agencies, etc. made working on your school district's multi-million dollar bond deal? Well, stop wondering.",6,0,0
2013,Scrape all links from a web page with one click,Timothy Barmann,0,NA,Providence Journal,0,"Providence, RI",0,"Here's a simple way to grab all the links from any web page, ignoring all the extra stuff you don't need.  All it takes is a click on a simple ""Bookmarklet"" you save to your Favorites toolbar. It pops open a new window with all the links, one to a line, ready for copy and paste.",5,0,0
2013,Build it Now! Node.js & Express for speedy makery,Pam Selle,0,NA,AxisPhilly,1,"Philadelphia, PA",0,"One of the most valuable things you can do to gather feedback on a proposed project is putting it up on the web and sending it around. In 5 minutes, we'll build a simple Node.js & Express app, AND deploy it on Heroku (assuming cooperative internet).",4,0,0
2014,A Few of My Favorite Wee Things,Lena Groeger,0,NA,ProPublica,1,"San Francisco, CA",0,"Mini maps and tiny text and fun-size charts. Learn why the biggest trend in data visualization is small, and how you can use wee things to super-size your next interactive.",58,1,1
2014,The whole internet in 5 minutes!,Jeremy Bowers,0,NA,NPR,0,"Washington, DC",0,"Do you want to learn about the intricacies of the internet in a single, five-minute-long, run-on sentence? OF COURSE! Will he finish all 172 slides? WHO KNOWS? Let's do this!",57,1,1
2014,You Must Learn,Ben Welsh,0,NA,Los Angeles Times,0,"Los Angeles, CA",0,Five lessons from data journalism history. Filled with straight-up facts ‒ no mystery.,56,1,1
2014,What we can learn from terrible data viz,Katie Park,0,NA,Washington Post,1,"Washington, DC",0,"Pie charts that add up to 110 percent! Graphs so three-dimensional, they could be drawn by M. C. Escher! Anything from the NSA slides! You may think you'll never commit data viz sins like these, but you might come closer than you think. I'll show some of the silliest, most nonsensical visualizations on the web and talk about how they can teach us to present data accurately.",49,1,1
2014,Five (more) algorithms in five (more) minutes,Chase Davis,0,NA,New York Times,0,"New York, NY",0,"A sequel to last year's lightning talk about crazy algorithms from math and computer science that can make us better journalists -- this time featuring: metric trees (for cleaning sloppy company names); useful examples of MapReduce; and much more. Once again, code and practical examples will be made available on Github. Special guest star, Dolph Lundgren.",49,1,1
2014,Refactoring; or Why Your Code Sucks and How to Fix It,Christopher Groskopf,0,NA,NPR,0,"Washington, DC",0,"Lost in your own code? Forgot what that variable does? Coworkers throwing books at you? Never fear! In five minutes I'll teach you three principles that will turn your shoddiest hacks into elegant, self-explanatory wonders.",44,1,1
2014,Natural Language Processing in the kitchen,Anthony Pesce,0,NA,Los Angeles Times,0,"Los Angeles, CA",0,"How the LA Times used NLP to extract thousands of recipes out of the archives, and how you can use it creatively clean a data set.",41,1,1
2014,Detecting What Isn't There,Sisi Wei,0,NA,ProPublica,1,"New York, NY",0,"How ProPublica reverse engineered one company's API to catch censorship in China. Learn how important it can be to pay attention to error messages, and the challenges we faced when trying to fly under the radar.",40,1,1
2014,DataViz = Fact-checking,Sisi Wei,0,NA,ProPublica,1,"New York, NY",0,"DataViz shouldn't be the last thing you do for a project. Learn how designing and building data visualizations early can help you find missing pieces, catch errors in your data, and be your new fact-checking best friend.",39,1,0
2014,How to Raise an Army,Tyler Fisher,0,NA,Knight Lab,0,"Evanston, IL",0,"I spent a quarter at Northwestern getting my fellow students interested in the web. I'll talk about what worked and what didn't, and how we can get more people doing journalism better on the web.",38,1,1
2014,Practical Calculus,Steven Rich,0,NA,Washington Post,0,"Washington, DC",0,Three equations useful for journalists.,35,0,1
2014,Data Loading: Worst Practices,Chris Amico,0,NA,Glass Eye Media LLC,0,"Boston, MA",0,"Let's confess our sins and admit to ourselves that we have all done these terrible, horrible, no-good, very bad things when trying to parse, transform and load datasets into our news applications.",29,0,0
2014,Kill your ArcGIS (or: Spatial analysis as a science!),Ken Schwencke,0,NA,Los Angeles Times,0,"Los Angeles, CA",0,"Ditch your ArcGIS or QGIS workflow. Step up your game with reproducible, document-able familiar SQL commands that will do the spatial analysis heavy lifting for you. PostGIS is your new best friend.",28,0,0
2014,NICAR Time Machine,Heather Billings,0,NA,Chicago Tribune,1,"Chicago, IL",0,"Photos of today's hottest data journalists and news application nerds before they were stars! A full five minutes of the good, the better, the hilarious.",24,0,0
2014,Then the data turned back into people,Sarah Slobin,0,NA,Wall Street Journal,1,"New York, NY",0,"Some failures change the way you think. 
There was this dataset. It felt essential to the story. I tried every form I know to make it visual. In the end, portraits did that job. 
This is my short and sad story about numbers, science and why my new holy grail is finding a way to bring data and the people they represent closer together.",24,0,0
2014,Getting all data without asking,Sebastian Mondial,0,NA,Independent,0,"Hamburg, Germany",1,"Companies hide their data treasures from you. I'll show how to get them from their maps, forms and especially smartphone apps. It's like scraping, but easier (no programming). If you are a pro, lets say this is ""Hidden API reloaded""",24,0,0
2014,C.S. for Satire,Chris Kirk,0,NA,Slate,0,"New York, NY",0,"How Slate.com uses code to ridicule the silliest things in politics and culture, including gerrymandering, Carlos Danger, Starbucks, The Great Gatsby, and Google Glass.",23,0,0
2014,Programming Art: Sol LeWitt,Chris Amico,0,NA,Glass Eye Media LLC,0,"Boston, MA",0,What does it mean to make art as a series of instructions that can be executed even after the artist's death? This is what I've learned about art and programming from Sol LeWitt.,21,0,0
2014,SDR (Software Defined Radio) in the newsroom,Jonathan Keegan,0,NA,Wall Street Journal,0,"New York, NY",0,"How to use a $25 USB TV antenna to make a police / fire scanner using software-defined radio, and some open source tools.",20,0,0
2014,Friends don't let friends do data dumps,Emily,0,NA,NA,1,NA,NA,You've all seen it. HTML tables that are so big readers have no idea how to make sense of it. We all know how powerful data can be (that's why we're heading to NICAR) but the high volume of numbers means we have to decide how much of it we put online. Too much and the data may intimidate. Too little and your story may not paint the whole picture. Let's talk about what's engaging for readers and when we run the risk of information overload.,19,0,0
2014,How to use Github to commit journalism,Tom Meagher,0,NA,Digital First Media,0,"New York, NY",0,"In some newsrooms, the task of building interactive graphics and news apps can be an afterthought, happily consigned to the specialists in the basement. I'll show you how the data team at Project Thunderdome harnesses the power of Github Issues to seduce diehard word nerds to explore data journalism and dabble in the interactive arts.",19,0,0
2014,I got shut down by the federal government for flying a drone and you can too!,Matt Waite,0,NA,University of Nebraska-Lincoln,0,"Lincoln, NE",0,Ever nearly piss yourself thinking of Gitmo while reading a scary letter from the federal government? It's AWESOME. Hear about where we are and how 2014 is going to be a big year if you have dreams of using your own flying robots for journalism.,18,0,0
2014,"Open data may be the future. Until then, we need journalists.",Tom Meagher,0,NA,Digital First Media,0,"New York, NY",0,"One day, every local, county, state and federal agency will publish petabytes of regularly updated, well documented, structured feeds of public data on the open web. 
For now though, the most important step in any data project is good, old-fashioned shoe leather beat reporting. I'll talk about how to develop sources in government agencies and cajole them into telling you where the data is buried.",17,0,0
2014,What not to map,Ben Chartoff,0,NA,Washington Post,0,"Washington, DC",0,"Everybody loves maps (right?), but they are far too often misleading, confusing, or straight up wrong. I'll show some misleading maps, and then some alternative visualizations of the same data. Also, some examples of effective maps and discussion of what makes them work.",16,0,0
2014,Poaching unicorns,Lindsey Cook,0,NA,Online News Association,1,"Atlanta, GA",0,"We say journalism needs unicorns -- people who have backgrounds in both journalism and coding. Yet, universities and news organizations are discouraging journalism unicorns. Why are we so uncomfortable with people who don't fit in our pre-determined journalist or coder boxes? Let's talk about what universities and news organizations are doing to poach unicorns and how we can stop the bloodshed.",16,0,0
2014,The Computer Fraud and Abuse Act,Jeremy Singer-Vine,0,NA,Wall Street Journal,0,"New York, NY",0,... and what it means for you.,15,0,0
2014,Github Pages as a Content Management System,M. Edward (Ed) Borasky,0,NA,Independent,0,"Portland, OR",0,"Can you write a book on Github? Christopher Gandrud did! Can you host a blog on Github? With Octopress, hundreds have! Slideshows? Ramnath Vaidyanathan made it simple!

Github Pages is my CMS and I'll help you make it yours.",13,0,0
2014,A Very NICAR Sing-along,Greg Linch,1,Chris Keller,Washington Post,0,"Washington, DC",0,Strummin' and singin' the dulcet sounds of data journalism with Chris Keller,13,0,0
2014,Supernatural strategies for hackathon success,David Eads,0,NA,Chicago Tribune,0,"Chicago, IL",0,"In the dark midwestern winter, I was visited by the ghosts of great journalists and geeks. Here's what they taught me about hackathons and collaboration! Here's the slides: https://www.dropbox.com/s/63yoqq0tgwgn2w3/supernatural%20strategies%20lightning%20talk%20nicar%202014.pdf",12,0,0
2014,Is this the Holodeck for Journalism!?,Robert Hernandez,0,NA,USC Annenberg School for Communication and Journalism,0,"Los Angeles, CA",0,"No. What are you high? That said, technology like Augmented Reality is not longer a sci-fi dream or a cheesy Holloywood gimmick. It's real and in your back pocket. Learn more and explore using it for journalism.",12,0,0
2014,Faster web app building with Grunt and Bower,Aaron Williams,0,NA,Reveal,0,"San Francisco, CA",0,"Grunt and Bower are two node.js modules that make building web applications easy peasy. This talk will discuss what these tools are, how they're used, and some common plugins that aid in the development process.",11,0,0
2014,Famous dead nerds,Chris Chang,0,NA,Texas Tribune,0,"Austin, TX",0,Attention nerds of the present: did you know much of our lingo comes from the names of famous people? I'll look things up on wikipedia and then give a summary (just like high school). There will be crazy facial hair and silly hats (at NICAR and in my talk).,10,0,0
2014,"Old MacDonald's (data, map, app) farm",Pam Dempsey,0,NA,Midwest Center for Investigative Reporting,1,"Champaign, IL",0,"Think the Farm Bill is off your beat? Think again! These obscure data sets, maps and apps will help you better cover agribusiness and the stories stemming from the new $1 trillion farm bill.",9,0,0
2014,Noob Scraping,Eric Holmberg,0,NA,Dallas Morning News,0,"Dallas, TX",0,"Don't know Python or Ruby? Life isn't hopeless. Quickly learn how to extract data from the web using import.io, a pretty good tool for pulling structured data without any programming! My example: Creating a database of the 10,000+ child care centers in Texas.",9,0,0
2014,Using a drone to spy on a state legislator,Paul Parker,0,NA,Providence Journal,0,"Providence, RI",0,"Last year, we used a drone to spy on a state legislator. What are the technical, meteorological, legal and ethical constraints on such a project? See raw footage of the surveillance.",8,0,0
2014,5 EPSG Codes That Propagate the Imperialist Agenda,Postpostgis,0,NA,NA,NA,NA,NA,"4324
4326
4327
4328
4329
http://twitter.com/PostPostGIS",7,0,0
2014,How to count crowds,Steve Doig,0,NA,Walter Cronkite School of Journalism and Mass Communication,0,"Tempe, AZ",0,"It's up to us -- reporters who can do math --  to bring wildly inflated crowd counts down to size. I'll show how easy it is to make a realistic estimate of the crowd at your city's next championship parade, political rally or protest march.",4,0,0
2014,Fun with CUSIPs,Cezary Podkul,0,NA,Reuters,0,"New York, NY",0,"A quick talk on how to chop up CUSIPs to identify the riskiest bit of a bond offering, map it to its owners, figure out what a CUSIP means just by looking at it, when the Fed might buy it, and other neat tricks for working with Wall Street's most important security identifier.",3,0,0
2015,"The end of maps, in 7 charts",Darla Cameron,0,NA,Washington Post,1,"Washington, DC",0,Got geographic data? A cartographer shares seven reasons why you should visualize it with something other than a map.,104,1,1
2015,"Decision, decisions! Lessons for deeply-interactive storytelling",Nadja Popovich,0,NA,The Guardian US,1,"New York, NY",0,"What if we asked more from our readers, rather than less? In this talk, I’ll present examples of interactive projects that force readers to make meaningful decisions. These interactives demand more time and attention from readers, but reward them with a deeper, more visceral understanding of the topic at hand.",71,1,0
2015,What do blind people see? A thought-talk about our obsession with visuals and how it translates for the blind,Suyeon Son,0,NA,NPR,1,"Washington, DC",0,"They say a picture is worth a thousand words. Tweets do better when there are images attached. Gifs have developed their own culture. In a world where we strive for more visually-compelling stories, how are those elements relayed to the blind? In this talk, I will muse about how we could make visual-centric stories accessible to those that can't directly interpret pixels on a screen.",65,1,1
2015,Beautiful Satellite Images in 5 Minutes,Jeff Larson,0,NA,ProPublica,0,"New York, NY",0,Give me 5 minutes and I'll show you how to make cloudless beautiful satellite images of (almost) anywhere in the world. And I'll open source some code on stage to boot.,61,1,1
2015,10 Things I Hate About You,Anthony Pesce,0,Lily Mihalik,Los Angeles Times,0,"Los Angeles, CA",0,"Can coders and designers ever get along? From lazy CSS to last-minute feature requests, Lily Mihalik (designer) and Anthony Pesce (coder) work through their ""issues"" in a live therapy session.",60,1,1
2015,5 data visualizations - each in 5 lines or less of R code,Sharon Machlis,0,NA,Computerworld,1,"Framingham, MA",0,"Afraid to make the leap from Excel to coding because you think it's ""too hard""? Thanks to some incredibly useful add-on packages, you can generate everything from maps to stats plots to interactive JavaScript graphics in just a few lines of R code. See why you shouldn't fear the command line!",60,1,1
2015,Seven awesome features you will want in your next charting tool,Gregor Aisch,0,NA,New York Times,0,"New York, NY",0,"In this session we will take a quick look at some features of ""Chartmaker"", the internal charting tool we pretty much build from scratch at the New York Times, and that now is the backbone for our data-driven journalism at TheUpshot.",58,1,1
2015,Wrestling with data (without coding),Maryjo Webster,0,NA,USA Today,1,"McLean, VA",0,"Pretty much every dataset I’ve ever met has had some problem that required me to do a little wrestling with it before I could analyze it. Standardizing names. Splitting addresses. Pulling it out of a PDF. Or simply getting it out of a “report” structure. These days there are lots of tools you can use. I’m a little old-school and find myself working on one-off projects where writing a script seems unnecessary. I’m going to show you 10 of my go-to tools and tricks that I use over and over and over again, ranging from really easy to moderately complicated. If words like SQL, Python and Perl send chills down your spine, then these are definitely must-have’s for your toolbox, whether you’re a data newbie or have 30 years under your belt.",58,1,1
2015,"The Five Stages of Terrible Data: Denial, Anger, Bargaining, Depression, Acceptance",Steven Rich,0,NA,Washington Post,0,"Washington, DC",0,Your data isn't perfect. It never is. I'll tell you how you can (accurately) use data with holes and when to just throw it out and try something new.,55,1,1
2015,Stop trying to multitask. You're terrible at it.,Chris Canipe,0,NA,Wall Street Journal,0,"New York, NY",0,"When we split time, we lose time. We lose it writing and answering emails, dropping in and out of projects and remembering what function does what and which variables are stored where. When our brains are tired, we slip up. We make bad design choices, write sloppy code and forget edits. Science has a name for this mess: decision fatigue. We can only keep track of so many ideas and make so many decisions before we lose our edge. This talk will describe research on our feeble brains and present simple solutions for concentrating when it counts.",53,1,1
2015,Stop letting the ~cool~ factor detract from your journalism,Ashlyn Still,0,NA,Atlanta Journal-Constitution,1,"Atlanta, GA",0,"The Internet of 2015 is way cool and filled with snazzy things. Parallax scrolling! HTML audio and video! Animated everything! As digitally-minded journalists, our brains are constantly churning with new ways to use the innovative web technologies we see in the wild as alternative story forms. But at what point does the “cool” factor start to detract from the value of the story you’re telling? This talk will explore the balance between expository and extravagant, looking at examples where fanciful delivery enhanced the story  – as well as instances where it didn’t – and how to use the slickest, newfangled technology to your advantage.",51,0,1
2015,How to read 52 books in 52 weeks,Nicole Zhu,0,NA,Knight Lab,1,"Evanston, IL",0,"Nothing's better than curling up with a good book. I'll talk about (1) why you should set the daunting goal of reading a book a week for a year, and (2) how you can achieve it.",49,0,0
2015,Risk Ratios in R in 4 Minutes,Ryann Grochowski Jones,0,NA,ProPublica,1,"New York, NY",0,"Risk ratios are used by epidemiologists to describe the risk of getting a disease relative to exposure, but journalists can use them to calculate the risk of any occurrence. Just one line of R code will give you a risk ratio complete with a confidence interval. It's so easy, I guarantee to finish the talk in four minutes, leaving one minute to share dog photos submitted by the NICAR community.",46,0,0
2015,YOU GOT THIS: The agony and ecstasy of data journalism. And cats.,David Eads,0,NA,NPR,0,"Washington, DC",0,"So many people in our community are doing great work with little thanks and a lot of stress. Let's toast your hard work with affirmations like ""You got this! The social media strategy was just about perfect!"" and ""You got this! The audio doesn't work with in-app browsers, but it works everywhere else!"" along with photos of NICARians' cats. Send your ideas for affirmations and photos of your cat(s) to @eads.",46,0,0
2015,How I beat the trolls and got on with my life while they cried alone in their basement,David Yanofsky,0,NA,Quartz,0,"Los Angeles, CA",0,Let me walk you through how to avoid pain and anguish when all of a sudden your inbox explodes and your phone won't stop ringing. With real life experiences like death threats! fake craigslist ads! and lawsuit intimidation!,44,0,0
2015,Sketchy Data: When Comics and Data Journalism’s Powers Combine,Jordan Wirfs-Brock,0,NA,Inside Energy,1,"Denver, CO",0,"No photo? No graphics? No problem. Sketches can be powerful tools for communicating data. And chances are, you’re already a cartoonist and you don’t even know it. In this talk, I’ll share the lessons I’ve learned from drawing time-lapse buckets of brine and bell curves that look like actual bells, plus three easy ways you, too, can use doodles to make data come alive for your audience – whether you draw like da Vinci or a third-grader. (Just think about what xkcd accomplishes with stick figures!)",44,0,0
2015,Saving Journalism With Web Components,Alex Duner,0,NA,Knight Lab,0,"Evanston, IL",0,"Imagine a reporter writing just one line of HTML to embed maps and charts with your publication's custom styles and interactions. Web Components are a cutting edge browser technology that let you bundle markup and styles into custom HTML elements. They might also be a great way to empower reporters to tell better stories on the web without them needing to code. We'll talk about what's great about Web Components, some pitfalls, and some ideas for using them in journalism. We'll descend into the depths of the Shadow DOM and, if we're lucky, make it out alive.",44,0,0
2015,Correlation = Causation: A Completely Sarcastic Introduction to Intermediate and Advanced Statistics,Steven Rich,0,NA,Washington Post,0,"Washington, DC",0,Five minutes on what not to do when performing statistical analyses.,42,0,0
2015,Let's step outside,Erika Owens,0,NA,OpenNews,1,"Philadelphia, PA",0,A lot of journalism is about understanding things from perspectives other than your own. I'll discuss some tactics for how to step outside of your own experience and bring that consideration to designing welcoming events and experiences.,42,0,0
2015,"Good web performance is a feature, too!",Ryan Murphy,0,NA,Texas Tribune,0,"Austin, TX",0,Good design is not just about how an interactive or news app looks and functions – its also about respecting our users' time and experiences with our products. This talk will touch on easy (and not so easy) ways to optimize the delivery of content and on how to optimize performance once it has arrived. We'll also go over strategies to ensure performance remains a priority at all stages of development. Respected users are happy users!,41,0,0
2015,Things I learned from Spock,Brian Boyer,0,NA,NPR,0,"Washington, DC",0,WARNING: Talk may contain colorful metaphors.,37,0,0
2015,Roland Barthes Doesn't Care What You Think — To Story or Not in Data Visualization,Emily Withrow,0,NA,Northwestern University,1,"Evanston, IL",0,"Roland Barthes: French, dead, thought many important thoughts. Inspired by some of the recent anti-storytelling-in-data-viz backlash, I’ve been thinking about *intention* in storytelling: who’s involved, how and when a story is formed, and how much control we ultimately have. This talk will use some of Barthes’ essays as a framework—in a super accessible way, I swear—to explore what we mean when we talk about story in graphic form, and to what extent it matters for data visualization.",37,0,0
2015,Using beauty for good not evil - data vis do's and dont's,Sara Schnadt,0,NA,Independent,1,"San Francisco, CA",0,"Beautiful data vis can be glib, distracting, confusing, fascinating, powerful, and crazy informative. I will explore why, and go over strategies for using aesthetics to optimize the impact of telling stories with data.",35,0,0
2015,How to code like a coder when you're not,Chris Schnaars,0,NA,USA Today,0,"McLean, VA",0,"Hey, even Chase Davis and Jeremy Bowers had to start somewhere. Are your programming skills closer to print('Hello world!') than data domination? Do you think ; and , are just punctuation marks? Is Python really better than Rails? (Yes.) To become a coding bad ass, you need to THINK like one. Incidentally, I'm not, but if you pick my lightning talk, I'm going to discuss it anyway.",34,0,0
2015,Making Twitter bots for news (and fun),Joe Fox,0,NA,Fairbanks Daily News-Miner,0,"Fairbanks, AK",0,"Twitter bots can be fun (@wikisext), weird (@FFD8FFDB), boring (@evryshadeofgray), informative (@Aurora_Alerts), silly (@burritopatents), sillier (@IndictBot), ridiculous (@butt_things) and even beautiful (@Lowpolybot), awe-inspiring (@andromedabot) and thought-provoking (@SnowballPoetry). But can they be helpful for news? Let's explore the world of Twitter bots and find out.",33,0,0
2015,The web is for everyone,Ryan Murphy,0,NA,Texas Tribune,0,"Austin, TX",0,"According to the World Health Organization, more than 285 million people are estimated to be visually impaired worldwide. But web accessibility isn't just about optimizing for screen readers – it's about ensuring our content is usable by a wide range of people, including individuals with motor and auditory impairments. In this talk I'll go over common accessibility myths, provide basic tips and discuss ways to test your content. I'll also introduce the A11Y Project[1] and provide information on how you can get involved![1] http://a11yproject.com/",32,0,0
2015,Doing better by international colleagues.,Jeff Kelly Lowenstein,0,NA,Center for Public Integrity,0,"Washington, DC",0,"Many journalists working outside of the United States face serious obstacles including extreme physical danger and low levels of Internet access and tech resources.  Although there has been a lot of collaboration with those colleagues, we can do more.  I’ll talk about concrete steps to do just that.",30,0,0
2015,Evangelical Python,Daniel Lathrop,0,NA,University of Iowa,0,"Iowa City, IA",0,"Jon McClure and I will explain how the Gospel according to Guido is helping us transform our newsroom into a data-y-er place. At The Dallas Morning News, we're teaching a 6-week Python course and 60 people -- more than 20 percent of the newsroom -- have signed up. Welcome to The Future.",28,0,0
2015,Ride Wit Me: Channeling Nelly in Student Newsrooms,Nicole Zhu,0,NA,Knight Lab,1,"Evanston, IL",0,"If you wanna go and take a ride wit me // We makin apps in the newsroom with the D3 // Oh why do I code this way? (Hey, must be the learning!)---Think police ride alongs, but with fewer stakeouts and donuts and more coding and donut charts. Using a student news organization at Northwestern University as an example, I'll talk about how code ride alongs have helped get more students programming and more writers involved in interactive storytelling.",28,0,0
2015,Long live flat files,Chris Wilson,0,NA,Time,0,"Washington, DC",0,"With some creative techniques, you can make even multi-gigabyte datasets searchable using only flat files. Why would you do this to yourself? Because it's massively easier and long-lived than dealing with databases and servers. This is an expansion on this Source post: https://source.opennews.org/en-US/articles/case-flat-files-big-data-projects/",27,0,0
2015,Being an X in a sea of Ys and why nots,Dana Amihere,0,NA,Pew Research Center,1,"Washington, DC",0,"One of the most debated issues I've seen to date on the NICAR listserv has been that of single-sex coding education aimed at women and minorities.  As a development community, how do we navigate these issues of gender and race, and why should we care at all? Let's take a look at how we can be sensitive to these differences without compromising the caliber of training everyone has access to. Other types of communities have been successful in doing this; what can we learn from them going forward?",26,0,0
2015,Pat Stith's Rules,J Andrew Curliss,0,NA,The News & Observer,0,"Raleigh, NC",0,"If NICAR had a Mount Rushmore, Pat Stith would be on it. When he retired from the News & Observer of Raleigh, he bequeathed to us his rules. 10 of them. They apply to your work -- coding, conducting showdown interviews, creating data visualizations, assembling multi-part projects. They're rules for life. With Stith's permission, I'll share them with you.",24,0,0
2015,Flooding then and now in your hood,Ryan McNeill,0,NA,Reuters,0,"New York, NY",0,"Too much coverage of sea level rise is based on projections. Let's talk about the now (and then). Gather 'round for a fun-filled, exciting adventure on how to examine whether minor flooding is increasing in your hood. Included: Quick exciting, arousing overview of tidal datums, likely appearances by a rapper or two and a couple ideas to take back to your editors now.",23,0,0
2015,How to measure your programming knowledge in units of xkcd,Suyeon Son,0,NA,NPR,1,"Washington, DC",0,"xkcd, in its footer, has a disclaimer: 'this comic occasionally contains strong language (which may be unsuitable for children), unusual humor (which may be unsuitable for adults), and advanced mathematics (which may be unsuitable for liberal-arts majors).' I, a young'n (read: #millennial)/part-time adult majoring in journalism, took this as a challenge. The result is a *highly scientific* method of calculating my knowledge of programming, in units of xkcd comics.",21,0,0
2015,Preplication -- The right way to confront story subjects in a data-driven story,Bill Alpert,0,NA,Barron’s,0,"New York, NY",0,"How should you confront the subjects of a data-driven story with your data and analysis?  I describe the practices I've developed to share an open-source replication bundle that allows them to confidentially reproduce, examine and critique your analysis and findings.  It's enabled me to find errors and focus my questions _before_ publication.  The practice also sets you up to provide reproducibility materials to your readers _after_ publication.  Over time, I'll post ""preplication"" templates in R, Python and other languages that journalists can adapt as they see fit.  I'll be giving one of the R classes at Nicar 2015 on this topic, but I want to also reach folks unable or uninterested in listening to me blather for 45 minutes. bill alpert, barron's",20,0,0
2015,The Five Minute Map Makeover,Jim Herries,0,NA,Esri,0,"Redlands, CA",0,"Every map needs at least five minutes to go from cluttered to clear. Sometimes you only have five minutes, so here are 10 easy things you can do to make that map more readable and visually appealing.",20,0,0
2015,How would Thompson and Ritchie design a newsroom?,Abraham Epton,0,NA,Chicago Tribune,0,"Chicago, IL",0,"Unix command-line tools, like ""less"" and ""tail,"" just do one simple thing, but put them together with dozens of other small, simple tools and you get an elegant and rock-solid system. This talk will take that approach to the newsroom, and demonstrate how building discrete tools like geocoders, boundary services, entity resolvers and domain-specific data providers can enable a flexible, robust data pipeline for unexpected journalism.",19,0,0
2015,"Ukraine Conflict Vehicle Tracking Project: How Bellingcat Crowdsources, Verifies and Maps Russian Tanks Entering Ukraine",Alex Salkever,0,NA,Silk.co,0,"San Francisco, CA",0,"If you are in data journalism, you may have heard of the citizen journalism project Bellingcat (www.bellingcat.com)? In February Brown Moses and his team launched a crowdsourced effort to document Russian military vehicle incursions into the Ukraine (bellingcat-vehicles.silk.co). By some accounts, Bellingcat's team is generating the most detailed intelligence in existence on this sensitive topic. In this lightning talk you'll learn:-- How Bellingcat designed the project and created a data methodology-- How Bellingcat used liveblogging tool CheckDesk for submission verification-- How Bellingcat uses the Silk.co data publishing platform to store, organize, visualize and map the data",17,0,0
2015,Learning how to code,Jackie,0,NA,NA,NA,NA,NA,"The 5 min (or less) epic trilogy of how I, my husband, and my Czech mother learned how to code and how you can to. (Includes obligatory impressions of my mother, which have been done before a live audience.)",16,0,0
2015,Picking locks,Chris Schnaars,0,NA,USA Today,0,"McLean, VA",0,"So you've got two tables of cool stuff you want to marry into one really great dataset. The problem: you don't have a key to pull this wedding off. Rather than reach for the shotgun, why not just craft your own key?",15,0,0
2015,Kill your CMS: How not to end up like Ozymandias,Chris Wilson,0,NA,Time,0,"Washington, DC",0,"Bit rot is a huge problem for news apps as companies constantly upend their CMS, migrate servers, and otherwise mess up the delicate process whereby projects get publish. Our solution at Time is to work entirely outside any CMS or internal platform, and to open-source as much as possible for posterity. I seek to free all people from the chains of content-management systems.",12,0,0
2015,"To make people pay attention to you, wear all black",Suyeon Son,0,NA,NPR,1,"Washington, DC",0,"I’m just kidding. That’s not a catch-all strategy.  In this talk, I will relay my lessons as a lowly intern/student type rebranding herself in one of the only communities where professionalism doesn’t have to trump personality. Think: Twitter handles.  Your pet projects. Your favorite color to wear. The personalized emojis of you in your Slack/Hipchat channels.",12,0,0
2015,Learn to love your CMS,Joe Fox,0,NA,Fairbanks Daily News-Miner,0,"Fairbanks, AK",0,"We can choose our friends, but we (usually) can't choose our CMS. But that doesn't mean you can't still do cool things within its confines!",12,0,0
2015,Geotag your interviews,Jue Yang,0,NA,CUNY Graduate School of Journalism,1,"New York, NY",0,"Stories on maps are not new, but when collecting interviews where geography plays in a big role, quickly seeing them on a map will help shape the story. What's even better, these interview data points can be used to create rich interactive stories later on. I'll show you how to use geojson.io to geotag your interviews and prototype you story -- in three simple steps.",11,0,0
2015,Unicorn-Centered Design,Tara Adiseshan,0,NA,Autodesk,1,"San Francisco, CA",0,"We continue to build tools that are driven by data that is machine-learned and dynamically generated, taking us further and further away from the more constrained static datasets of the past. When leveraging unicorn data, or data that might contain unknowns even to the developers, it becomes increasingly difficult to design interfaces that enable coherent user experiences. I’ll talk about designing interfaces that forgive, take advantage of, and overcome the challenges of unicorn data.",11,0,0
2015,Time-lapse videos of the Umbrella Revolution or coding on your iPad on vacation with your parents in Japan,Cedric Sam,0,NA,South China Morning Post,0,"Hong Kong SAR, China",1,"When tear gas was fired on protesters in Hong Kong on September, prompting the Umbrella Revolution, I was on a plane with my parents to Japan. With only an iPad 3 and an archive of traffic webcam snapshot images (at every minute) that we happened to have, I contributed time-lapse videos stitched together on the command-line (ffmpeg, ftw!).  It provided some interesting insights and unconventional points of view, e.g. this one a few hours after the first tear gas shots: http://multimedia.scmp.com/occupylapse/",10,0,0
2015,Communicating across the technology border,Alexandra Kanik,0,NA,PublicSource,1,"Pittsburg, PA",0,"When you're a tech person, talking to people who don't deal with code and databases all day can be difficult, especially when those people are your superiors. I propose to talk about ways that non-technical and technical co-workers can better understand each other and why it's essential that they do.",10,0,0
